YEAR,SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1997,1,UNC,East,4,35,29.085714285714285,60.68571428571428,0.479,23.714285714285715,46.22857142857143,0.513,5.371428571428571,14.457142857142857,0.372,13.857142857142858,20.37142857142857,0.68,15.085714285714285,26.485714285714284,41.57142857142857,18.057142857142857,7.457142857142857,4.057142857142857,14.142857142857142,15.628571428571428,77.4,24.771428571428572,61.542857142857144,0.403,16.914285714285715,37.285714285714285,0.454,7.857142857142857,24.257142857142856,0.324,9.285714285714286,14.942857142857143,0.017742857142857144,12.771428571428572,19.428571428571427,32.2,12.942857142857143,7.314285714285714,2.8,13.685714285714285,18.4,66.68571428571428
1997,16,Fairfield,East,64,30,23.0,53.63333333333333,0.429,17.5,37.06666666666667,0.472,5.5,16.566666666666666,0.332,14.866666666666667,24.333333333333332,0.611,12.866666666666667,22.633333333333333,35.5,12.933333333333334,7.3,3.566666666666667,16.466666666666665,20.433333333333334,66.36666666666666,24.5,55.7,0.44,19.366666666666667,39.53333333333333,0.49,5.133333333333334,16.166666666666668,0.318,15.033333333333333,22.1,0.02266666666666667,12.166666666666666,23.466666666666665,35.63333333333333,13.566666666666666,7.6,3.966666666666667,15.4,21.366666666666667,69.16666666666667
1997,8,Indiana,East,64,33,23.393939393939394,53.45454545454545,0.438,17.96969696969697,38.93939393939394,0.461,5.424242424242424,14.515151515151516,0.374,20.424242424242426,26.666666666666668,0.766,11.757575757575758,24.09090909090909,35.84848484848485,13.909090909090908,6.424242424242424,3.9696969696969697,15.363636363636363,17.96969696969697,72.63636363636364,25.03030303030303,59.303030303030305,0.422,19.545454545454547,42.84848484848485,0.456,5.484848484848484,16.454545454545453,0.333,12.545454545454545,18.96969696969697,0.02003030303030303,13.393939393939394,21.848484848484848,35.24242424242424,13.484848484848484,6.666666666666667,2.727272727272727,15.151515151515152,22.484848484848484,68.0909090909091
1997,9,Colorado,East,32,32,25.71875,60.90625,0.422,21.125,48.21875,0.438,4.59375,12.6875,0.362,17.09375,25.09375,0.681,13.4375,25.59375,39.03125,14.65625,8.0625,5.53125,13.78125,20.125,73.125,24.28125,60.71875,0.4,18.875,44.59375,0.423,5.40625,16.125,0.335,15.65625,23.9375,0.0204375,15.5625,25.78125,41.34375,14.40625,7.03125,4.0625,16.875,20.75,69.625
1997,5,California,East,16,32,27.21875,59.53125,0.457,22.78125,45.90625,0.496,4.4375,13.625,0.326,16.1875,24.09375,0.672,14.0625,23.9375,38.0,16.25,8.46875,4.21875,16.4375,18.375,75.0625,24.34375,59.3125,0.41,18.21875,40.59375,0.449,6.125,18.71875,0.327,13.03125,18.625,0.021875,13.65625,21.875,35.53125,14.65625,7.40625,3.375,18.09375,19.71875,67.84375
1997,12,Princeton,East,64,28,22.535714285714285,45.07142857142857,0.5,13.821428571428571,21.821428571428573,0.633,8.714285714285714,23.25,0.375,10.964285714285714,15.321428571428571,0.716,5.857142857142857,19.321428571428573,25.178571428571427,14.071428571428571,7.214285714285714,1.75,11.642857142857142,17.928571428571427,64.75,18.178571428571427,44.57142857142857,0.408,14.035714285714286,30.892857142857142,0.454,4.142857142857143,13.678571428571429,0.303,12.928571428571429,18.857142857142858,0.0245,9.928571428571429,19.178571428571427,29.107142857142858,7.928571428571429,14.392857142857142,1.4642857142857142,14.392857142857142,16.25,53.42857142857143
1997,4,Villanova,East,32,34,26.235294117647058,56.794117647058826,0.462,20.823529411764707,40.26470588235294,0.517,5.411764705882353,16.529411764705884,0.327,17.176470588235293,24.764705882352942,0.694,15.088235294117647,25.470588235294116,40.55882352941177,15.176470588235293,8.441176470588236,6.088235294117647,16.323529411764707,18.764705882352942,75.05882352941177,24.0,59.411764705882355,0.404,18.0,40.26470588235294,0.447,6.0,19.147058823529413,0.313,13.911764705882353,21.058823529411764,0.019441176470588236,13.970588235294118,19.823529411764707,33.794117647058826,13.470588235294118,8.647058823529411,2.6470588235294117,14.647058823529411,20.5,67.91176470588235
1997,13,LIU,East,64,30,33.3,76.56666666666666,0.435,23.266666666666666,46.733333333333334,0.498,10.033333333333333,29.833333333333332,0.336,14.9,24.033333333333335,0.62,17.3,28.033333333333335,45.333333333333336,16.9,13.2,2.7666666666666666,12.766666666666667,21.166666666666668,91.53333333333333,30.633333333333333,65.23333333333333,0.47,24.733333333333334,45.166666666666664,0.548,5.9,20.066666666666666,0.294,16.4,24.533333333333335,0.022266666666666667,15.4,30.766666666666666,46.166666666666664,18.7,6.733333333333333,3.3,22.633333333333333,20.4,83.56666666666666
1997,6,Louisville,East,8,35,25.942857142857143,57.91428571428571,0.448,19.257142857142856,37.74285714285714,0.51,6.685714285714286,20.17142857142857,0.331,16.6,24.2,0.686,14.257142857142858,21.571428571428573,35.82857142857143,15.342857142857143,8.771428571428572,2.657142857142857,16.085714285714285,20.228571428571428,75.17142857142858,24.82857142857143,56.371428571428574,0.44,19.82857142857143,40.48571428571429,0.49,5.0,15.885714285714286,0.315,16.257142857142856,23.314285714285713,0.019914285714285714,14.257142857142858,21.97142857142857,36.22857142857143,12.428571428571429,7.685714285714286,3.2285714285714286,18.057142857142857,19.97142857142857,70.91428571428571
1997,11,UMass,East,64,33,24.636363636363637,57.27272727272727,0.43,19.939393939393938,43.27272727272727,0.461,4.696969696969697,14.0,0.335,12.454545454545455,18.575757575757574,0.67,14.545454545454545,23.12121212121212,37.666666666666664,14.757575757575758,6.848484848484849,5.0,13.393939393939394,19.454545454545453,66.42424242424242,21.515151515151516,54.333333333333336,0.396,16.363636363636363,38.42424242424242,0.426,5.151515151515151,15.909090909090908,0.324,16.454545454545453,24.21212121212121,0.020606060606060607,13.545454545454545,21.545454545454547,35.09090909090909,11.030303030303031,6.454545454545454,3.0606060606060606,12.969696969696969,17.454545454545453,64.63636363636364
