SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Kansas,West,8,38,1106,2241,.494,875,1657,.528,231,584,.396,535,811,.660,486,1021,1507,651,350,246,539,718,2978,804,2136,.376,,,,,,,,,,,,1254,,,,,,2344
16,Niagara,West,64,35,889,2125,.418,615,1326,.464,274,799,.343,602,824,.731,517,825,1342,467,224,55,473,611,2654,972,2078,.468,,,,,,,,,,,,1211,,,,,,2609
8,Kentucky,West,32,34,890,1868,.476,659,1218,.541,231,650,.355,485,690,.703,370,865,1235,537,201,161,493,547,2496,839,2040,.411,,,,,,,,,,,,1125,,,,,,2302
9,Villanova,West,64,33,775,1827,.424,527,1123,.469,248,704,.352,594,761,.781,438,758,1196,419,267,107,450,645,2392,700,1703,.411,,,,,,,,,,,,1047,,,,,,2132
5,Virginia Tech,West,32,34,886,1894,.468,723,1445,.500,163,449,.363,493,747,.660,366,765,1131,449,285,159,371,619,2428,759,1818,.417,,,,,,,,,,,,1151,,,,,,2181
12,Illinois,West,64,35,790,1830,.432,549,1139,.482,241,691,.349,424,680,.624,437,794,1231,488,205,99,491,604,2245,693,1726,.402,,,,,,,,,,,,1049,,,,,,1997
4,Southern Illinois,West,16,36,762,1702,.448,538,1090,.494,224,612,.366,518,748,.693,346,730,1076,414,237,116,504,728,2266,655,1567,.418,,,,,,,,,,,,1017,,,,,,2023
13,Holy Cross,West,64,34,738,1695,.435,547,1151,.475,191,544,.351,504,687,.734,386,705,1091,463,324,123,521,621,2171,656,1585,.414,,,,,,,,,,,,945,,,,,,1954
6,Duke,West,64,33,822,1754,.469,624,1234,.506,198,520,.381,481,698,.689,379,786,1165,433,241,157,509,577,2323,765,1812,.422,,,,,,,,,,,,1004,,,,,,2047
11,VCU,West,32,35,901,1971,.457,657,1362,.482,244,609,.401,580,797,.728,427,738,1165,475,268,106,394,643,2626,814,1797,.453,,,,,,,,,,,,1122,,,,,,2298
3,Pitt,West,16,37,961,2035,.472,732,1436,.510,229,599,.382,486,735,.661,445,875,1320,647,194,133,441,613,2637,824,2023,.407,,,,,,,,,,,,1147,,,,,,2324
14,Wright State,West,64,33,766,1750,.438,586,1231,.476,180,519,.347,413,564,.732,334,726,1060,402,196,50,400,574,2125,716,1703,.420,,,,,,,,,,,,1082,,,,,,2051
7,Indiana,West,32,32,783,1755,.446,531,1094,.485,252,661,.381,428,603,.710,375,707,1082,424,206,140,396,657,2246,657,1580,.416,,,,,,,,,,,,1004,,,,,,1976
10,Gonzaga,West,64,34,933,1932,.483,703,1349,.521,230,583,.395,572,762,.751,353,918,1271,492,212,123,473,654,2668,801,2010,.399,,,,,,,,,,,,1139,,,,,,2383
2,UCLA,West,4,36,948,1987,.477,703,1327,.530,245,660,.371,428,643,.666,386,798,1184,519,269,116,444,595,2569,791,1849,.428,607,1329,.457,184,520,.354,391,563,.694,,,1094,428,184,100,558,626,2157
15,Weber State,West,64,32,772,1579,.489,592,1123,.527,180,456,.395,542,807,.672,307,743,1050,437,212,78,515,611,2266,798,1819,.439,,,,,,,,,,,,1022,,,,,,2214
1,UNC,East,8,38,1187,2379,.499,972,1779,.546,215,600,.358,669,940,.712,522,1029,1551,696,309,173,524,647,3258,962,2311,.416,,,,,,,,,,,,1227,,,,,,2608
