SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,UCLA,West,4,39,1029,2164,.476,815,1552,.525,214,612,.350,595,813,.732,492,940,1432,562,285,167,491,569,2867,875,2095,.418,,,,,,,,,,,,1111,,,,,,2300
16,Mississippi Valley State,West,64,33,698,1755,.398,551,1319,.418,147,436,.337,493,727,.678,389,718,1107,379,206,90,473,582,2036,781,1763,.443,,,,,,,,,,,,1179,,,,,,2174
8,BYU,West,64,35,906,1970,.460,621,1206,.515,285,764,.373,483,737,.655,365,986,1351,587,207,135,492,618,2580,792,2035,.389,,,,,,,,,,,,1199,,,,,,2213
9,Texas A&M,West,32,36,909,1945,.467,698,1357,.514,211,588,.359,519,820,.633,424,978,1402,486,158,145,458,611,2548,817,2069,.395,,,,,,,,,,,,1148,,,,,,2216
5,Drake,West,64,33,816,1829,.446,506,989,.512,310,840,.369,498,656,.759,399,729,1128,485,252,85,390,492,2440,760,1748,.435,,,,,,,,,,,,1031,,,,,,2050
12,Western Kentucky,West,16,36,993,2106,.472,723,1419,.510,270,687,.393,529,755,.701,455,807,1262,458,288,135,514,768,2785,782,1846,.424,,,,,,,,,,,,1166,,,,,,2403
4,UConn,West,64,33,868,1880,.462,700,1415,.495,168,465,.361,652,905,.720,449,934,1383,488,189,285,451,506,2556,839,2170,.387,,,,,,,,,,,,1171,,,,,,2266
13,San Diego,West,32,36,868,1925,.451,691,1405,.492,177,520,.340,452,673,.672,384,822,1206,476,250,113,538,629,2365,837,1898,.441,,,,,,,,,,,,1159,,,,,,2296
6,Purdue,West,32,34,806,1900,.424,553,1221,.453,253,679,.373,502,705,.712,389,735,1124,451,286,147,436,671,2367,730,1675,.436,546,1147,.476,184,528,.348,478,713,.670,,,1116,403,196,111,593,629,2122
11,Baylor,West,64,32,899,1979,.454,624,1252,.498,275,727,.378,528,711,.743,384,812,1196,388,237,138,403,665,2601,828,1922,.431,,,,,,,,,,,,1200,,,,,,2396
3,Xavier,West,8,37,936,1973,.474,654,1252,.522,282,721,.391,626,836,.749,412,910,1322,564,206,125,480,643,2780,833,2034,.410,,,,,,,,,,,,1131,,,,,,2347
14,Georgia,West,64,34,840,1956,.429,636,1337,.476,204,619,.330,430,633,.679,451,844,1295,396,228,116,505,612,2314,829,1941,.427,,,,,,,,,,,,1159,,,,,,2290
7,West Virginia,West,16,37,983,2169,.453,719,1426,.504,264,743,.355,539,782,.689,453,879,1332,571,257,188,413,710,2769,816,1941,.420,,,,,,,,,,,,1249,,,,,,2352
10,Arizona,West,64,34,843,1765,.478,622,1199,.519,221,566,.390,536,716,.749,281,771,1052,526,189,120,414,556,2443,842,1910,.441,,,,,,,,,,,,1104,,,,,,2276
2,Duke,West,32,34,964,2084,.463,656,1268,.517,308,816,.377,594,852,.697,426,829,1255,497,295,133,462,654,2830,880,2025,.435,,,,,,,,,,,,1252,,,,,,2361
15,Belmont,West,64,34,938,2078,.451,581,1099,.529,357,979,.365,481,689,.698,424,824,1248,587,290,65,498,626,2714,892,1956,.456,,,,,,,,,,,,1194,,,,,,2497
