SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Gonzaga,West,8,37,1177,2239,0.526,890,1449,0.614,287,790,0.363,602,791,0.761,354,1089,1443,668,278,204,394,603,3243,877,2256,0.389,638,1469,0.434,239,787,0.304,407,584,0.697,382,812,1194,363,201,84,501,685,2400
16,Fairleigh Dickinson,West,64,35,921,1939,0.475,652,1267,0.515,269,672,0.4,509,702,0.725,323,832,1155,486,261,132,477,578,2620,908,2041,0.445,631,1252,0.504,277,789,0.351,422,608,0.694,389,797,1186,473,218,116,508,632,2515
8,Syracuse,West,64,34,808,1907,0.424,534,1083,0.493,274,824,0.333,480,701,0.685,363,811,1174,408,278,162,423,588,2370,746,1859,0.401,452,965,0.468,294,894,0.329,460,637,0.722,405,848,1253,506,225,107,528,626,2246
9,Baylor,West,32,34,869,1966,0.442,595,1163,0.512,274,803,0.341,430,635,0.677,450,831,1281,473,209,159,446,636,2442,795,1869,0.425,549,1155,0.475,246,714,0.345,466,682,0.683,338,748,1086,442,202,146,421,612,2302
5,Marquette,West,64,34,893,1969,0.454,574,1147,0.5,319,822,0.388,524,692,0.757,331,961,1292,456,168,145,467,635,2629,819,2020,0.405,586,1300,0.451,233,720,0.324,492,725,0.679,341,805,1146,418,236,102,402,644,2363
12,Murray State,West,32,33,988,2007,0.492,730,1276,0.572,258,731,0.353,493,673,0.733,351,896,1247,591,249,149,401,527,2727,827,2014,0.411,623,1301,0.479,204,713,0.286,397,552,0.719,376,769,1145,374,199,117,464,584,2255
4,Florida State,West,16,37,960,2171,0.442,688,1352,0.509,272,819,0.332,579,778,0.744,418,973,1391,475,266,161,492,705,2771,842,2067,0.407,573,1264,0.453,269,803,0.335,532,737,0.722,348,875,1223,369,203,113,529,682,2485
13,Vermont,West,64,34,864,1887,0.458,591,1126,0.525,273,761,0.359,507,678,0.748,304,890,1194,399,188,136,377,568,2508,768,1834,0.419,528,1141,0.463,240,693,0.346,367,503,0.73,241,809,1050,353,187,94,439,657,2143
6,Buffalo,West,32,36,1083,2344,0.462,739,1322,0.559,344,1022,0.337,527,767,0.687,452,1018,1470,599,263,140,433,659,3037,916,2180,0.42,680,1389,0.49,236,791,0.298,482,687,0.702,363,970,1333,372,192,112,553,704,2550
11,Arizona State,West,64,34,899,2012,0.447,659,1298,0.508,240,714,0.336,600,882,0.68,399,952,1351,459,213,109,466,675,2638,828,2007,0.413,536,1133,0.473,292,874,0.334,546,774,0.705,343,875,1218,449,221,113,476,735,2494
