SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Duke,West,16,37,1040,2206,.471,749,1428,.525,291,778,.374,622,826,.753,446,953,1399,529,269,162,447,657,2993,896,2212,.405,720,1669,.431,176,543,.324,426,655,.650,473,826,1299,438,219,105,545,745,2394
16,Hampton,West,64,33,746,1843,.405,533,1185,.450,213,658,.324,492,759,.648,367,803,1170,387,241,185,412,604,2197,719,1874,.384,539,1307,.412,180,567,.317,452,671,.674,449,868,1317,336,168,105,516,666,2070
8,Michigan,West,32,35,847,1889,.448,564,1085,.520,283,804,.352,351,502,.699,289,826,1115,480,168,69,351,587,2328,795,1854,.429,573,1158,.495,222,696,.319,375,553,.678,335,843,1178,451,150,100,409,580,2187
9,Tennessee,West,64,34,837,1941,.431,662,1358,.487,175,583,.300,527,770,.684,464,815,1279,443,250,126,454,662,2376,785,1878,.418,555,1186,.468,230,692,.332,496,704,.705,388,765,1153,414,228,140,476,649,2296
5,Arizona,West,8,38,969,2064,.469,673,1319,.510,296,745,.397,671,899,.746,408,911,1319,536,197,98,484,707,2905,940,2115,.444,765,1517,.504,175,598,.293,525,774,.678,375,792,1167,496,225,129,475,753,2580
12,Memphis,West,64,35,891,1975,.451,681,1336,.510,210,639,.329,532,782,.680,421,825,1246,512,297,183,535,712,2524,828,1987,.417,623,1365,.456,205,622,.330,531,778,.683,445,772,1217,450,259,142,519,671,2392
4,Texas,West,32,36,954,2099,.455,753,1564,.481,201,535,.376,592,905,.654,494,958,1452,485,207,183,425,616,2701,816,2108,.387,654,1559,.419,162,549,.295,444,648,.685,423,800,1223,342,191,105,461,748,2238
13,Oakland,West,64,35,1052,2137,.492,765,1370,.558,287,767,.374,601,834,.721,451,915,1366,568,216,192,473,644,2992,984,2217,.444,751,1575,.477,233,642,.363,489,678,.721,430,762,1192,484,236,97,423,721,2690
6,Cincinnati,West,32,35,848,1939,.437,628,1288,.488,220,651,.338,496,742,.668,454,783,1237,497,258,129,401,605,2412,735,1790,.411,564,1261,.447,171,529,.323,445,633,.703,351,737,1088,405,205,100,492,630,2086
11,Missouri,West,64,34,983,2145,.458,738,1476,.500,245,669,.366,537,727,.739,425,772,1197,558,329,171,431,689,2748,851,1943,.438,654,1366,.479,197,577,.341,536,775,.692,439,827,1266,460,198,96,614,647,2435
3,UConn,West,1,41,1053,2429,.434,819,1718,.477,234,711,.329,627,822,.763,570,1056,1626,534,259,228,466,646,2967,973,2478,.393,712,1680,.424,261,798,.327,452,665,.680,546,901,1447,501,250,143,472,742,2659
14,Bucknell,West,64,34,827,1855,.446,593,1270,.467,234,585,.400,499,633,.788,270,879,1149,491,160,106,380,612,2387,747,1888,.396,528,1197,.441,219,691,.317,461,661,.697,359,803,1162,422,186,89,400,594,2174
7,Temple,West,32,34,868,1943,.447,662,1360,.487,206,583,.353,458,656,.698,374,844,1218,511,231,156,368,538,2400,790,1908,.414,603,1385,.435,187,523,.358,357,504,.708,340,792,1132,389,172,105,447,579,2124
10,Penn State,West,64,34,767,1748,.439,551,1110,.496,216,638,.339,394,544,.724,337,731,1068,413,151,82,358,530,2144,768,1747,.440,533,1103,.483,235,644,.365,355,509,.697,316,709,1025,482,159,127,365,592,2126
2,San Diego State,West,16,37,991,2141,.463,768,1502,.511,223,639,.349,455,653,.697,472,924,1396,499,227,170,402,542,2660,802,2027,.396,608,1419,.428,194,608,.319,394,547,.720,381,765,1146,402,186,100,460,619,2192
15,Northern Colorado,West,64,32,731,1708,.428,477,1051,.454,254,657,.387,571,742,.770,376,774,1150,371,191,62,454,609,2287,682,1660,.411,444,973,.456,238,687,.346,503,711,.707,305,690,995,399,199,106,443,648,2105
1,Ohio State,East,16,37,1017,2059,.494,732,1385,.529,285,674,.423,535,763,.701,419,858,1277,587,263,118,375,519,2854,838,1976,.424,606,1293,.469,232,683,.340,300,407,.737,341,755,1096,424,150,119,552,697,2208
