SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Arizona,West,8,38,996,2123,.469,792,1562,.507,204,561,.364,573,870,.659,465,984,1449,574,223,173,387,630,2769,776,2041,.380,603,1500,.402,173,541,.320,500,698,.716,369,812,1181,347,178,118,471,699,2225
16,Weber State,West,64,31,732,1541,.475,510,975,.523,222,566,.392,568,767,.741,265,800,1065,407,131,123,382,558,2254,753,1763,.427,619,1360,.455,134,403,.333,421,599,.703,311,652,963,355,162,63,291,623,2061
8,Gonzaga,West,32,36,972,1963,.495,717,1320,.543,255,643,.397,562,793,.709,343,948,1291,525,235,142,419,659,2761,806,2027,.398,603,1388,.434,203,639,.318,557,784,.710,399,779,1178,380,210,112,422,716,2372
9,Oklahoma State,West,64,34,898,1941,.463,659,1285,.513,239,656,.364,693,964,.719,332,871,1203,463,260,160,356,680,2728,801,1957,.409,590,1312,.450,211,645,.327,552,803,.687,409,853,1262,373,208,123,484,736,2365
5,Oklahoma,West,64,33,909,2034,.447,624,1282,.487,285,752,.379,601,802,.749,398,844,1242,483,224,108,376,625,2704,864,1976,.437,628,1286,.488,236,690,.342,544,761,.715,369,829,1198,412,195,112,426,689,2508
12,North Dakota State,West,32,33,888,1759,.505,712,1276,.558,176,483,.364,540,719,.751,307,774,1081,382,206,145,325,588,2492,722,1709,.422,500,1110,.450,222,599,.371,498,664,.750,290,660,950,368,168,63,381,599,2164
4,San Diego State,West,16,36,873,2009,.435,687,1490,.461,186,519,.358,598,902,.663,470,894,1364,356,274,183,355,600,2530,734,1904,.386,560,1300,.431,174,604,.288,410,607,.675,370,810,1180,357,154,151,490,705,2052
13,New Mexico State,West,64,36,936,1918,.488,742,1395,.532,194,523,.371,705,1027,.686,428,918,1346,474,169,224,457,614,2771,863,2153,.401,701,1661,.422,162,492,.329,527,720,.732,457,713,1170,340,201,92,397,806,2415
6,Baylor,West,16,38,959,2108,.455,679,1383,.491,280,725,.386,645,949,.680,525,931,1456,563,197,202,440,648,2843,927,2179,.425,669,1448,.462,258,731,.353,465,688,.676,432,768,1200,566,203,108,394,728,2577
11,Nebraska,West,64,32,719,1684,.427,531,1120,.474,188,564,.333,511,713,.717,278,781,1059,304,222,99,349,660,2137,696,1659,.420,510,1069,.477,186,590,.315,507,744,.681,319,802,1121,354,168,101,397,602,2085
3,Creighton,West,32,35,957,1927,.497,601,1068,.563,356,859,.414,486,654,.743,293,899,1192,614,139,49,342,618,2756,844,1983,.426,610,1298,.470,234,685,.342,454,654,.694,347,765,1112,428,169,98,338,647,2376
14,Louisiana,West,64,35,988,2127,.465,742,1457,.509,246,670,.367,613,913,.671,464,865,1329,472,250,144,459,734,2835,907,2032,.446,702,1418,.495,205,614,.334,614,885,.694,400,814,1214,412,212,184,483,744,2633
7,Oregon,West,32,34,928,1977,.469,669,1311,.510,259,666,.389,668,865,.772,356,803,1159,492,263,113,389,725,2783,838,1907,.439,640,1296,.494,198,611,.324,647,912,.709,377,748,1125,422,166,125,458,697,2521
10,BYU,West,64,35,1012,2186,.463,835,1687,.495,177,499,.355,730,1055,.692,463,969,1432,544,251,103,395,690,2931,935,2175,.430,676,1411,.479,259,764,.339,577,810,.712,382,871,1253,515,213,147,441,800,2706
2,Wisconsin,West,4,38,927,2019,.459,630,1229,.513,297,790,.376,642,861,.746,337,929,1266,468,183,127,307,574,2793,915,2135,.429,731,1595,.458,184,540,.341,418,579,.722,350,862,1212,364,161,105,370,763,2432
15,American,West,64,33,748,1527,.490,541,981,.551,207,546,.379,378,535,.707,232,754,986,492,198,110,464,567,2081,671,1621,.414,510,1116,.457,161,505,.319,448,660,.679,319,643,962,336,234,79,396,579,1951
1,Virginia,East,16,37,855,1884,.454,649,1325,.490,206,559,.369,533,792,.673,379,933,1312,484,193,150,362,594,2449,727,1875,.388,524,1246,.421,203,629,.323,403,609,.662,321,764,1085,373,191,126,413,676,2060
16,Coastal Carolina,East,64,34,861,1969,.437,649,1341,.484,212,628,.338,524,758,.691,434,902,1336,362,216,96,473,668,2458,778,1934,.402,514,1112,.462,264,822,.321,506,730,.693,372,803,1175,397,240,136,440,649,2326
8,Memphis,East,32,34,958,2009,.477,776,1457,.533,182,552,.330,516,801,.644,427,841,1268,591,294,159,449,612,2614,888,2029,.438,708,1444,.490,180,585,.308,441,681,.648,421,771,1192,453,269,135,490,679,2397
9,George Washington,East,64,33,839,1812,.463,652,1298,.502,187,514,.364,550,845,.651,394,835,1229,461,235,135,428,595,2415,788,1895,.416,574,1210,.474,214,685,.312,421,632,.666,383,730,1113,412,224,117,442,717,2211
5,Cincinnati,East,64,34,805,1893,.425,609,1308,.466,196,585,.335,519,733,.708,457,767,1224,425,268,188,377,596,2325,690,1745,.395,508,1177,.432,182,568,.320,424,628,.675,366,712,1078,374,177,120,485,634,1986
12,Harvard,East,32,32,786,1691,.465,602,1213,.496,184,478,.385,587,811,.724,335,757,1092,449,243,155,365,566,2343,680,1664,.409,516,1155,.447,164,509,.322,428,603,.710,318,686,1004,342,185,114,459,666,1952
4,Michigan State,East,8,38,1024,2159,.474,717,1376,.521,307,783,.392,515,728,.707,395,1005,1400,637,259,174,430,721,2870,817,2058,.397,565,1298,.435,252,760,.332,605,829,.730,375,833,1208,405,214,110,449,669,2491
13,Delaware,East,64,35,936,2108,.444,684,1381,.495,252,727,.347,658,925,.711,385,879,1264,377,208,123,334,660,2782,936,2115,.443,717,1445,.496,219,670,.327,557,803,.694,429,936,1365,414,171,132,418,736,2648
6,UNC,East,32,34,953,2057,.463,807,1623,.497,146,434,.336,552,882,.626,483,867,1350,523,249,161,406,690,2604,810,1949,.416,599,1284,.467,211,665,.317,541,807,.670,395,784,1179,374,202,136,462,717,2372
11,Providence,East,64,35,849,1984,.428,631,1356,.465,218,628,.347,650,831,.782,432,846,1278,476,194,173,406,603,2566,893,2017,.443,705,1443,.489,188,574,.328,469,681,.689,374,789,1163,422,200,113,383,689,2443
3,Iowa State,East,16,36,1062,2239,.474,761,1399,.544,301,840,.358,564,814,.693,375,1012,1387,663,214,106,380,623,2989,954,2272,.420,695,1512,.460,259,760,.341,511,698,.732,403,926,1329,476,197,124,418,698,2678
14,North Carolina Central,East,64,34,847,1832,.462,663,1287,.515,184,545,.338,635,872,.728,403,794,1197,500,262,137,389,660,2513,658,1726,.381,472,1108,.426,186,618,.301,521,753,.692,382,698,1080,328,187,143,534,672,2023
7,UConn,East,1,40,971,2163,.449,684,1422,.481,287,741,.387,644,829,.777,387,1002,1389,488,281,230,457,719,2873,878,2241,.392,637,1510,.422,241,731,.330,532,801,.664,492,886,1378,454,228,127,518,731,2529
10,St. Joseph's,East,64,34,840,1789,.470,590,1129,.523,250,660,.379,503,780,.645,319,899,1218,476,151,154,409,544,2433,825,1966,.420,594,1290,.460,231,676,.342,417,602,.693,343,780,1123,459,224,81,344,649,2298
2,Villanova,East,32,34,870,1907,.456,566,1052,.538,304,855,.356,607,848,.716,379,884,1263,523,236,141,406,672,2651,763,1886,.405,543,1263,.430,220,623,.353,515,728,.707,355,782,1137,413,193,78,468,692,2261
