SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Oregon,West,8,38,1041,2230,.467,781,1472,.531,260,758,.343,648,906,.715,442,940,1382,517,275,221,431,675,2990,931,2199,.423,659,1445,.456,272,754,.361,480,690,.696,408,849,1257,486,174,114,533,779,2614
16,Holy Cross,West,64,35,775,1879,.412,524,1110,.472,251,769,.326,466,678,.687,279,773,1052,480,219,86,386,585,2267,859,1873,.459,586,1109,.528,273,764,.357,454,626,.725,323,930,1253,500,187,108,450,651,2445
8,St. Joseph's,West,32,36,976,2153,.453,725,1386,.523,251,767,.327,577,806,.716,364,1014,1378,534,184,119,355,583,2780,924,2218,.417,638,1298,.492,286,920,.311,388,555,.699,351,926,1277,454,161,103,410,706,2522
9,Cincinnati,West,64,33,851,1980,.430,599,1255,.477,252,725,.348,464,658,.705,441,850,1291,508,257,192,363,513,2418,750,1907,.393,510,1235,.413,240,672,.357,350,515,.680,373,763,1136,380,169,109,446,575,2090
5,Baylor,West,64,34,933,2003,.466,723,1431,.505,210,572,.367,545,752,.725,467,800,1267,603,269,135,432,660,2621,823,1843,.447,590,1205,.490,233,638,.365,485,693,.700,314,697,1011,598,223,134,463,666,2366
12,Yale,West,32,30,795,1693,.470,605,1170,.517,190,523,.363,468,699,.670,407,801,1208,452,170,137,398,530,2248,678,1654,.410,495,1090,.454,183,564,.324,375,537,.698,256,625,881,339,202,107,364,641,1914
4,Duke,West,16,36,983,2136,.460,655,1285,.510,328,851,.385,626,866,.723,426,870,1296,478,226,154,354,603,2920,998,2244,.445,772,1579,.489,226,665,.340,387,568,.681,456,866,1322,523,163,126,427,761,2609
13,UNC Wilmington,West,64,33,928,2039,.455,698,1362,.512,230,677,.340,534,760,.703,397,840,1237,438,246,143,374,793,2620,758,1802,.421,583,1280,.455,175,522,.335,688,976,.705,374,836,1210,344,163,108,493,663,2379
6,Texas,West,64,33,814,1884,.432,582,1203,.484,232,681,.341,495,743,.666,363,776,1139,377,167,144,341,688,2355,775,1844,.420,566,1238,.457,209,606,.345,494,707,.699,362,821,1183,365,147,107,408,669,2253
11,Northern Iowa,West,32,36,849,1864,.455,551,1068,.516,298,796,.374,479,633,.757,195,896,1091,429,204,94,357,560,2475,850,2011,.423,595,1216,.489,255,795,.321,348,483,.720,326,912,1238,434,172,95,420,667,2303
3,Texas A&M,West,16,37,991,2208,.449,710,1384,.513,281,824,.341,565,841,.672,477,984,1461,612,260,133,434,668,2828,862,2117,.407,579,1269,.456,283,848,.334,451,685,.658,396,900,1296,492,198,131,534,724,2458
14,Green Bay,West,64,36,1048,2350,.446,793,1620,.490,255,730,.349,662,1007,.657,458,927,1385,501,358,166,441,724,3013,1013,2255,.449,735,1490,.493,278,765,.363,576,807,.714,432,1026,1458,512,215,162,609,790,2880
7,Oregon State,West,64,32,811,1843,.440,593,1256,.472,218,587,.371,461,687,.671,337,765,1102,432,236,106,361,642,2301,766,1788,.428,540,1093,.494,226,695,.325,486,699,.695,364,816,1180,445,160,121,430,599,2244
10,VCU,West,32,36,1010,2238,.451,748,1493,.501,262,745,.352,499,721,.692,447,900,1347,515,309,135,405,706,2781,872,1980,.440,670,1381,.485,202,599,.337,494,728,.679,342,900,1242,457,205,144,535,641,2440
2,Oklahoma,West,4,37,1018,2225,.458,636,1319,.482,382,906,.422,530,734,.722,407,1011,1418,537,247,188,484,630,2948,953,2314,.412,675,1489,.453,278,825,.337,445,656,.678,434,907,1341,411,268,118,468,694,2629
15,Cal State Bakersfield,West,64,33,875,1939,.451,696,1415,.492,179,524,.342,476,726,.656,414,849,1263,516,263,165,405,707,2405,696,1764,.395,498,1159,.430,198,605,.327,514,747,.688,347,781,1128,339,177,108,499,657,2104
1,UNC,East,2,40,1235,2560,.482,1011,1875,.539,224,685,.327,617,826,.747,568,1056,1624,708,269,177,431,718,3311,993,2384,.417,685,1534,.447,308,850,.362,505,725,.697,441,841,1282,434,225,122,510,732,2801
16,Florida Gulf Coast,East,64,35,1008,2106,.479,822,1579,.521,186,527,.353,501,778,.644,417,1005,1422,483,230,141,438,674,2703,877,2128,.412,645,1365,.473,232,763,.304,487,713,.683,385,850,1235,415,234,111,422,663,2473
8,USC,East,64,34,982,2138,.459,716,1450,.494,266,688,.387,507,750,.676,401,936,1337,504,215,181,415,590,2737,924,2214,.417,676,1450,.466,248,764,.325,441,627,.703,430,849,1279,469,196,135,414,661,2537
9,Providence,East,32,35,881,2093,.421,632,1317,.480,249,776,.321,566,781,.725,402,861,1263,550,229,123,397,591,2577,909,2067,.440,688,1382,.498,221,685,.323,416,578,.720,370,923,1293,460,207,116,508,699,2455
5,Indiana,East,16,35,1021,2034,.502,676,1203,.562,345,831,.415,504,688,.733,414,874,1288,560,239,137,474,647,2891,905,2037,.444,687,1401,.490,218,636,.343,419,615,.681,356,704,1060,423,215,106,458,668,2447
12,Chattanooga,East,64,35,897,1963,.457,635,1234,.515,262,729,.359,596,811,.735,381,860,1241,504,272,165,437,596,2652,866,1967,.440,631,1256,.502,235,711,.331,397,584,.680,344,789,1133,442,226,132,494,692,2364
4,Kentucky,East,32,36,1028,2149,.478,784,1483,.529,244,666,.366,561,813,.690,462,933,1395,512,206,207,389,735,2861,827,2082,.397,626,1466,.427,201,616,.326,596,848,.703,433,776,1209,334,155,111,437,710,2451
13,Stony Brook,East,64,33,933,1992,.468,713,1394,.511,220,598,.368,429,637,.673,426,886,1312,541,204,150,379,523,2515,770,1887,.408,558,1238,.451,212,649,.327,363,506,.717,301,757,1058,365,186,96,418,606,2115
6,Notre Dame,East,8,36,972,2042,.476,710,1342,.529,262,700,.374,498,671,.742,381,884,1265,480,197,143,359,544,2704,930,2154,.432,656,1412,.465,274,742,.369,407,559,.728,410,800,1210,493,194,110,346,615,2541
11,Michigan,East,64,36,947,2048,.462,605,1147,.527,342,901,.380,420,569,.738,290,862,1152,537,203,81,348,558,2656,894,1995,.448,643,1270,.506,251,725,.346,387,534,.725,308,882,1190,471,146,113,432,580,2426
3,West Virginia,East,64,35,943,2102,.449,734,1459,.503,209,643,.325,654,972,.673,558,822,1380,510,343,93,498,819,2749,726,1713,.424,520,1091,.477,206,622,.331,677,948,.714,305,773,1078,371,244,128,624,812,2335
14,Stephen F. Austin,East,32,34,972,2032,.478,703,1291,.545,269,741,.363,515,701,.735,405,783,1188,635,310,122,411,700,2728,764,1745,.438,590,1201,.491,174,544,.320,451,680,.663,335,764,1099,398,181,96,631,687,2153
7,Wisconsin,East,16,35,816,1917,.426,587,1261,.466,229,656,.349,512,728,.703,398,830,1228,400,205,114,386,588,2373,794,1862,.426,593,1323,.448,201,539,.373,444,627,.708,314,807,1121,369,190,116,420,698,2233
10,Pitt,East,64,33,878,1919,.458,674,1330,.507,204,589,.346,516,686,.752,417,840,1257,547,162,121,384,581,2476,798,1844,.433,576,1213,.475,222,631,.352,402,608,.661,310,712,1022,437,186,110,379,597,2220
2,Xavier,East,32,34,928,2054,.452,673,1352,.498,255,702,.363,626,857,.730,436,951,1387,548,246,101,429,678,2737,834,2010,.415,581,1196,.486,253,814,.311,471,675,.698,334,804,1138,456,206,119,474,774,2392
15,Weber State,East,64,35,908,1885,.482,617,1100,.561,291,785,.371,555,821,.676,300,996,1296,477,175,119,462,611,2662,880,2113,.416,678,1537,.441,202,576,.351,382,571,.669,336,834,1170,358,201,57,382,731,2344
1,Virginia,Midwest,8,37,964,1964,.491,740,1407,.526,224,557,.402,474,630,.752,323,866,1189,551,199,119,345,596,2626,777,1849,.420,542,1172,.462,235,677,.347,433,617,.702,287,760,1047,370,199,83,428,617,2222
16,Hampton,Midwest,64,32,810,1967,.412,604,1289,.469,206,678,.304,537,815,.659,447,875,1322,381,169,117,440,649,2363,826,1934,.427,611,1293,.473,215,641,.335,503,696,.723,324,845,1169,347,183,133,393,688,2370
8,Texas Tech,Midwest,64,32,785,1754,.448,600,1220,.492,185,534,.346,550,741,.742,326,760,1086,418,190,134,385,589,2305,783,1828,.428,537,1137,.472,246,691,.356,424,601,.705,360,720,1080,362,207,104,401,668,2236
9,Butler,Midwest,32,33,918,1969,.466,682,1368,.499,236,601,.393,566,774,.731,366,822,1188,468,227,107,335,646,2638,818,1879,.435,587,1196,.491,231,683,.338,477,672,.710,309,773,1082,414,152,145,432,670,2344
5,Purdue,Midwest,64,35,960,2042,.470,692,1311,.528,268,731,.367,538,723,.744,407,1036,1443,615,147,165,419,607,2726,824,2106,.391,605,1409,.429,219,697,.314,414,591,.701,315,759,1074,416,217,101,325,712,2281
12,Little Rock,Midwest,32,35,886,1958,.453,620,1265,.490,266,693,.384,449,616,.729,324,871,1195,451,230,106,355,640,2487,720,1825,.395,494,1104,.447,226,721,.313,463,677,.684,353,837,1190,377,140,96,486,609,2129
4,Iowa State,Midwest,16,35,1087,2159,.503,794,1401,.567,293,758,.387,395,563,.702,304,940,1244,577,218,142,398,542,2862,986,2250,.438,718,1450,.495,268,800,.335,385,560,.688,401,860,1261,499,194,100,425,553,2625
13,Iona,Midwest,64,33,919,2011,.457,592,1127,.525,327,884,.370,463,651,.711,348,870,1218,551,248,135,422,642,2628,844,1993,.423,587,1275,.460,257,718,.358,506,724,.699,390,844,1234,451,193,97,460,606,2451
6,Seton Hall,Midwest,64,34,892,1999,.446,686,1405,.488,206,594,.347,532,808,.658,438,917,1355,455,251,155,469,636,2522,814,2027,.402,602,1358,.443,212,669,.317,465,685,.679,408,823,1231,414,245,137,469,719,2305
11,Gonzaga,Midwest,16,36,1011,2081,.486,730,1343,.544,281,738,.381,537,708,.758,382,1044,1426,501,184,111,418,623,2840,859,2167,.396,645,1450,.445,214,717,.298,428,610,.702,359,800,1159,370,210,107,370,701,2360
3,Utah,Midwest,32,36,977,2000,.489,704,1254,.561,273,746,.366,551,764,.721,347,988,1335,557,199,149,451,549,2778,933,2226,.419,664,1500,.443,269,726,.371,367,506,.725,371,802,1173,395,238,129,378,711,2502
14,Fresno State,Midwest,64,35,926,2126,.436,707,1488,.475,219,638,.343,559,805,.694,409,884,1293,466,295,138,378,764,2630,812,1929,.421,560,1168,.479,252,761,.331,599,859,.697,368,907,1275,430,161,108,529,700,2475
7,Dayton,Midwest,64,33,836,1836,.455,615,1193,.516,221,643,.344,500,749,.668,327,938,1265,480,196,145,427,626,2393,761,1882,.404,519,1189,.437,242,693,.349,412,618,.667,299,814,1113,417,161,96,412,649,2176
10,Syracuse,Midwest,4,37,884,2080,.425,569,1204,.473,315,876,.360,506,736,.688,445,874,1319,493,300,162,440,598,2589,877,2127,.412,618,1282,.482,259,845,.307,396,595,.666,471,886,1357,570,232,111,491,647,2409
2,Michigan State,Midwest,64,35,1009,2078,.486,688,1339,.514,321,739,.434,454,623,.729,427,1027,1454,719,156,177,406,671,2793,774,2025,.382,570,1367,.417,204,658,.310,493,690,.714,329,726,1055,377,187,115,333,606,2245
15,Middle Tennessee,Midwest,32,35,909,2025,.449,630,1309,.481,279,716,.390,442,718,.616,369,914,1283,455,215,123,419,700,2539,824,1902,.433,592,1238,.478,232,664,.349,530,794,.668,312,901,1213,419,206,101,469,652,2410
1,Kansas,South,8,38,1092,2207,.495,788,1479,.533,304,728,.418,601,843,.713,402,1041,1443,604,253,158,478,719,3089,873,2200,.397,640,1474,.434,233,726,.321,591,816,.724,392,842,1234,413,248,125,490,779,2570
16,Austin Peay,South,64,36,945,2049,.461,722,1404,.514,223,645,.346,627,936,.670,422,904,1326,479,250,101,502,633,2740,995,2159,.461,693,1319,.525,302,840,.360,471,667,.706,378,858,1236,524,252,108,478,765,2765
8,Colorado,South,64,34,865,2029,.426,613,1382,.444,252,647,.389,594,808,.735,446,988,1434,461,177,167,454,638,2576,852,2038,.418,640,1442,.444,212,596,.356,491,716,.686,322,818,1140,357,254,153,371,698,2407
9,UConn,South,32,36,944,2078,.454,689,1379,.500,255,699,.365,488,615,.793,338,962,1300,489,210,182,385,657,2631,785,2032,.386,545,1296,.421,240,736,.326,475,719,.661,393,849,1242,409,184,129,431,592,2285
5,Maryland,South,16,36,943,1941,.486,676,1202,.562,267,739,.361,572,745,.768,319,969,1288,488,210,194,458,605,2725,874,2145,.407,634,1395,.454,240,750,.320,412,579,.712,398,795,1193,409,220,97,407,667,2400
12,South Dakota State,South,64,34,877,1950,.450,622,1235,.504,255,715,.357,582,783,.743,381,898,1279,381,169,84,399,670,2591,789,1888,.418,582,1266,.460,207,622,.333,531,736,.721,311,791,1102,376,192,121,411,708,2316
4,California,South,64,34,890,1931,.461,654,1280,.511,236,651,.363,529,806,.656,386,963,1349,430,139,159,419,706,2545,789,1989,.397,606,1462,.415,183,527,.347,528,745,.709,327,799,1126,369,172,100,329,693,2289
13,Hawaii,South,32,34,893,1946,.459,656,1209,.543,237,737,.322,597,873,.684,362,908,1270,525,257,124,443,695,2620,764,1910,.400,561,1241,.452,203,669,.303,536,748,.717,321,803,1124,366,198,91,498,769,2267
6,Arizona,South,64,34,946,1970,.480,725,1390,.522,221,580,.381,622,863,.721,394,974,1368,485,164,161,442,621,2735,853,2067,.413,649,1421,.457,204,646,.316,432,606,.713,320,735,1055,412,187,117,388,743,2342
11,Wichita State,South,32,35,867,2023,.429,617,1252,.493,250,771,.324,551,768,.717,408,897,1305,489,255,125,346,705,2535,659,1705,.387,456,1079,.423,203,626,.324,545,769,.709,276,878,1154,315,163,106,539,715,2066
3,Miami (FL),South,16,35,907,1895,.479,666,1252,.532,241,643,.375,578,772,.749,330,877,1207,438,215,127,383,581,2633,865,2008,.431,655,1397,.469,210,611,.344,419,584,.717,357,772,1129,398,185,87,404,666,2359
14,Buffalo,South,64,35,915,2096,.437,652,1320,.494,263,776,.339,616,867,.710,425,938,1363,441,240,124,475,748,2709,906,2098,.432,650,1343,.484,256,755,.339,566,790,.716,378,895,1273,458,197,117,464,720,2634
7,Iowa,South,32,33,906,2027,.447,637,1308,.487,269,719,.374,480,669,.717,392,865,1257,523,223,156,339,538,2561,850,2021,.421,608,1249,.487,242,772,.313,345,505,.683,390,839,1229,454,176,99,431,643,2287
10,Temple,South,64,33,822,2021,.407,567,1264,.449,255,757,.337,368,538,.684,371,854,1225,445,173,103,305,535,2267,809,1952,.414,613,1324,.463,196,628,.312,416,561,.742,358,904,1262,408,144,120,355,520,2230
2,Villanova,South,1,40,1086,2247,.483,739,1288,.574,347,959,.362,599,766,.782,351,1034,1385,637,282,136,440,681,3118,906,2247,.403,621,1407,.441,285,840,.339,446,674,.662,418,904,1322,510,232,87,552,757,2543
15,UNC Asheville,South,64,34,898,1973,.455,703,1370,.513,195,603,.323,561,808,.694,396,882,1278,422,312,112,444,587,2552,835,1954,.427,630,1249,.504,205,705,.291,438,627,.699,359,845,1204,375,230,84,528,669,2313
