SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Maryland,East,1,36,1083,2248,.482,866,1668,.519,217,580,.374,677,933,.726,473,1006,1479,714,302,216,495,,3060,920,2304,.399,,,,,,,,,,,,1345,,,,,,2552
16,Siena,East,64,36,853,2044,.417,603,1322,.456,250,722,.346,561,754,.744,402,959,1361,465,199,149,550,,2517,817,2076,.394,,,,,,,,,,,,1340,,,,,,2482
8,Wisconsin,East,32,32,731,1675,.436,520,1082,.481,211,593,.356,471,655,.719,328,704,1032,407,188,60,414,,2144,778,1707,.456,,,,,,,,,,,,1038,,,,,,2101
9,St. John's (NY),East,64,32,784,1953,.401,645,1469,.439,139,484,.287,543,811,.670,498,708,1206,368,323,120,484,,2250,745,1766,.422,,,,,,,,,,,,1204,,,,,,2202
5,Marquette,East,64,33,871,1841,.473,698,1385,.504,173,456,.379,498,720,.692,420,750,1170,462,279,113,455,,2413,706,1758,.402,,,,,,,,,,,,1021,,,,,,2004
12,Tulsa,East,32,34,961,2016,.477,702,1377,.510,259,639,.405,545,724,.753,373,841,1214,586,269,153,436,,2726,856,1990,.430,,,,,,,,,,,,1169,,,,,,2363
4,Kentucky,East,16,32,905,2021,.448,686,1329,.516,219,692,.316,431,638,.676,492,791,1283,471,252,153,460,,2460,782,1898,.412,,,,,,,,,,,,1106,,,,,,2183
13,Valparaiso,East,64,33,893,1989,.449,618,1204,.513,275,785,.350,503,754,.667,448,794,1242,570,334,136,437,,2564,781,1870,.418,,,,,,,,,,,,1204,,,,,,2180
6,Texas Tech,East,64,32,931,1999,.466,785,1611,.487,146,388,.376,524,768,.682,419,811,1230,588,243,134,397,,2532,878,2075,.423,,,,,,,,,,,,1269,,,,,,2292
11,Southern Illinois,East,16,36,976,2115,.461,756,1514,.499,220,601,.366,545,880,.619,483,913,1396,547,262,171,493,,2717,813,2017,.403,,,,,,,,,,,,1280,,,,,,2425
