SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Gonzaga,West,32,35,961,1934,.497,735,1325,.555,226,609,.371,548,777,.705,409,786,1195,530,277,96,393,551,2696,735,1909,.385,491,1170,.420,244,739,.330,381,561,.679,373,672,1045,350,217,112,480,687,2095
16,Southern,West,64,33,761,1757,.433,535,1138,.470,226,619,.365,475,689,.689,288,747,1035,376,244,134,359,562,2223,658,1795,.367,497,1236,.402,161,559,.288,413,614,.673,371,802,1173,276,167,93,447,564,1890
8,Pitt,West,64,33,837,1775,.472,674,1308,.515,163,467,.349,445,666,.668,425,642,1067,537,218,131,364,575,2282,627,1598,.392,455,1033,.440,172,565,.304,421,582,.723,316,626,942,335,181,123,444,587,1847
9,Wichita State,West,4,39,954,2166,.440,695,1401,.496,259,765,.339,553,791,.699,512,843,1355,530,289,173,492,700,2720,797,2020,.395,559,1281,.436,238,739,.322,553,774,.714,355,835,1190,410,220,116,505,703,2385
5,Wisconsin,West,64,35,823,1960,.420,564,1175,.480,259,785,.330,369,582,.634,401,801,1202,465,200,153,334,491,2274,744,1890,.394,608,1420,.428,136,470,.289,334,485,.689,325,838,1163,300,198,86,392,605,1958
12,Ole Miss,West,32,36,977,2230,.438,739,1495,.494,238,735,.324,587,866,.678,466,785,1251,450,297,185,395,606,2779,865,2122,.408,624,1351,.462,241,771,.313,438,660,.664,432,919,1351,472,208,117,552,728,2409
4,Kansas State,West,64,35,872,2002,.436,634,1344,.472,238,658,.362,432,631,.685,470,675,1145,557,247,129,403,631,2414,750,1792,.419,579,1254,.462,171,538,.318,444,646,.687,375,745,1120,388,194,119,493,575,2115
13,La Salle,West,16,34,871,1931,.451,609,1236,.493,262,695,.377,446,605,.737,332,626,958,481,263,119,390,520,2450,872,1912,.456,730,1442,.506,142,470,.302,371,544,.682,379,813,1192,436,199,132,486,538,2257
6,Arizona,West,16,35,880,1933,.455,611,1208,.506,269,725,.371,541,722,.749,393,779,1172,476,234,134,458,584,2570,784,1909,.411,573,1320,.434,211,589,.358,447,629,.711,321,730,1051,386,215,112,465,624,2226
11,Belmont,West,64,33,906,1844,.491,627,1115,.562,279,729,.383,442,604,.732,306,660,966,516,322,88,440,604,2533,725,1748,.415,507,1098,.462,218,650,.335,461,651,.708,384,716,1100,396,213,132,572,591,2129
3,New Mexico,West,64,35,768,1815,.423,547,1186,.461,221,629,.351,598,829,.721,335,788,1123,505,220,134,402,542,2355,760,1944,.391,497,1183,.420,263,761,.346,337,500,.674,342,809,1151,440,189,101,445,693,2122
14,Harvard,West,32,30,677,1425,.475,486,945,.514,191,480,.398,504,697,.723,219,577,796,392,218,126,399,457,2049,707,1601,.442,557,1148,.485,150,453,.331,360,496,.726,302,622,924,345,189,94,409,586,1924
7,Notre Dame,West,64,35,892,1929,.462,664,1312,.506,228,617,.370,438,618,.709,387,759,1146,587,175,132,393,495,2450,845,2011,.420,654,1424,.459,191,587,.325,341,494,.690,368,752,1120,513,200,122,358,606,2222
10,Iowa State,West,32,35,962,2111,.456,616,1187,.519,346,924,.374,509,696,.731,422,816,1238,560,223,97,460,593,2779,890,2076,.429,675,1384,.488,215,692,.311,491,679,.723,367,812,1179,479,231,101,462,623,2486
2,Ohio State,West,8,37,928,2057,.451,701,1419,.494,227,638,.356,516,729,.708,378,841,1219,493,248,162,377,590,2599,776,1963,.395,546,1253,.436,230,710,.324,415,580,.716,360,836,1196,373,162,105,493,631,2197
15,Iona,West,64,34,956,2106,.454,673,1335,.504,283,771,.367,538,689,.781,395,699,1094,523,222,101,421,582,2733,938,2083,.450,666,1357,.491,272,726,.375,447,669,.668,418,810,1228,526,188,147,475,585,2595
1,Indiana,East,16,36,951,1971,.482,694,1334,.520,257,637,.403,672,904,.743,439,831,1270,514,256,130,469,598,2831,815,2089,.390,607,1405,.432,208,684,.304,398,563,.707,428,686,1114,353,229,150,509,735,2236
16,James Madison,East,64,36,818,1941,.421,607,1313,.462,211,628,.336,499,714,.699,365,699,1064,423,272,166,401,620,2346,798,1865,.428,577,1229,.469,221,636,.347,509,732,.695,368,870,1238,455,191,111,490,593,2326
8,NC State,East,64,35,985,1987,.496,801,1516,.528,184,471,.391,554,813,.681,396,790,1186,511,227,147,433,544,2708,899,2145,.419,690,1452,.475,209,693,.302,451,621,.726,430,746,1176,410,209,124,400,641,2458
9,Temple,East,32,34,851,1986,.428,608,1246,.488,243,740,.328,511,707,.723,381,676,1057,497,267,126,366,558,2456,824,1882,.438,628,1327,.473,196,555,.353,465,642,.724,358,856,1214,425,170,100,463,595,2309
5,UNLV,East,64,35,872,2002,.436,645,1313,.491,227,689,.329,525,747,.703,418,863,1281,562,253,203,487,593,2498,794,2039,.389,591,1389,.425,203,650,.312,415,599,.693,361,820,1181,404,227,88,454,641,2206
12,California,East,32,33,833,1875,.444,699,1432,.488,134,443,.302,418,585,.715,361,773,1134,468,192,154,417,549,2218,753,1915,.393,564,1353,.417,189,562,.336,428,622,.688,384,749,1133,385,196,103,370,555,2123
