SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Duke,East,1,39,1217,2530,.481,810,1473,.550,407,1057,.385,697,1002,.696,538,967,1505,701,411,196,531,659,3538,1028,2471,.416,821,1869,.439,207,602,.344,487,701,.695,546,915,1461,517,282,117,752,848,2750
16,Monmouth,East,64,31,756,1664,.454,555,1094,.507,201,570,.353,467,678,.689,300,755,1055,439,280,105,471,517,2180,716,1750,.409,453,1003,.452,263,747,.352,329,487,.676,378,734,1112,454,217,102,566,642,2024
8,Georgia,East,64,31,845,1820,.464,703,1409,.499,142,411,.345,425,632,.672,397,796,1193,471,195,149,485,569,2257,793,1826,.434,582,1219,.477,211,607,.348,461,675,.683,357,692,1049,397,266,128,309,582,2258
9,Missouri,East,32,33,847,2015,.420,568,1281,.443,279,734,.380,520,742,.701,466,793,1259,418,258,132,497,679,2493,854,1978,.432,693,1476,.470,161,502,.321,533,780,.683,459,823,1282,453,222,101,510,672,2402
5,Ohio State,East,64,31,775,1645,.471,606,1202,.504,169,443,.381,487,697,.699,355,735,1090,473,161,160,471,607,2206,684,1698,.403,488,1162,.420,196,536,.366,409,597,.685,361,591,952,385,190,116,457,648,1973
12,Utah State,East,32,34,852,1755,.485,652,1242,.525,200,513,.390,500,743,.673,370,807,1177,511,220,132,486,581,2404,708,1795,.394,521,1186,.439,187,609,.307,347,513,.676,379,671,1050,349,207,77,527,645,1959
4,UCLA,East,16,32,902,1947,.463,712,1412,.504,190,535,.355,550,829,.663,441,778,1219,464,249,127,515,670,2544,819,1874,.437,612,1214,.504,207,660,.314,537,780,.688,392,745,1137,474,205,90,557,693,2382
13,Hofstra,East,64,31,784,1657,.473,617,1154,.535,167,503,.332,522,807,.647,373,793,1166,414,237,119,511,547,2257,685,1714,.400,518,1158,.447,167,556,.300,392,568,.690,336,651,987,396,225,74,533,707,1929
6,USC,East,8,34,898,1955,.459,690,1358,.508,208,597,.348,616,873,.706,422,828,1250,514,259,151,512,617,2620,869,2030,.428,633,1371,.462,236,659,.358,446,648,.688,411,760,1171,457,237,71,526,719,2420
11,Oklahoma State,East,64,30,767,1652,.464,638,1257,.508,129,395,.327,466,736,.633,364,775,1139,406,241,115,506,568,2129,685,1704,.402,505,1170,.432,180,534,.337,386,577,.669,358,681,1039,356,220,92,513,623,1936
3,Boston College,East,32,32,879,1934,.454,649,1283,.506,230,651,.353,559,788,.709,486,680,1166,464,326,97,423,652,2547,743,1698,.438,571,1184,.482,172,514,.335,471,744,.633,427,681,1108,379,203,132,614,666,2129
14,Southern Utah,East,64,31,783,1602,.489,586,1109,.528,197,493,.400,480,673,.713,335,662,997,462,321,87,470,613,2243,673,1599,.421,442,907,.487,231,692,.334,438,642,.682,380,583,963,445,191,75,549,597,2015
7,Iowa,East,32,35,815,1895,.430,605,1322,.458,210,573,.366,753,1068,.705,482,869,1351,474,191,83,520,783,2593,832,1912,.435,609,1254,.486,223,658,.339,582,844,.690,351,767,1118,497,222,143,486,846,2469
10,Creighton,East,64,32,788,1782,.442,539,1088,.495,249,694,.359,500,712,.702,357,727,1084,490,293,114,426,646,2325,679,1586,.428,514,1102,.466,165,484,.341,501,710,.706,303,747,1050,361,194,82,569,661,2024
2,Kentucky,East,16,34,988,2051,.482,743,1343,.553,245,708,.346,492,751,.655,464,847,1311,539,229,151,513,631,2713,842,2081,.405,598,1392,.430,244,689,.354,472,689,.685,494,720,1214,426,231,82,551,659,2400
15,Holy Cross,East,64,30,640,1437,.445,504,1049,.480,136,388,.351,618,940,.657,388,767,1155,385,188,157,512,583,2034,628,1642,.382,436,1096,.398,192,546,.352,420,601,.699,339,584,923,370,238,112,427,771,1868
1,Illinois,Midwest,8,35,929,2046,.454,682,1368,.499,247,678,.364,620,880,.705,479,921,1400,550,269,146,524,772,2725,748,1936,.386,529,1262,.419,219,674,.325,592,860,.688,387,767,1154,400,214,119,560,776,2307
16,Northwestern State,Midwest,64,32,768,1856,.414,593,1305,.454,175,551,.318,581,877,.662,410,768,1178,392,308,133,537,765,2292,788,1812,.435,606,1327,.457,182,485,.375,639,932,.686,424,853,1277,434,242,104,592,726,2397
8,Tennessee,Midwest,64,33,909,1980,.459,652,1283,.508,257,697,.369,593,872,.680,421,880,1301,528,232,191,528,712,2668,876,2107,.416,644,1432,.450,232,675,.344,512,756,.677,488,807,1295,460,257,114,512,712,2496
9,Charlotte,Midwest,32,33,873,1998,.437,568,1150,.494,305,848,.360,532,777,.685,411,856,1267,471,231,97,418,663,2583,832,1992,.418,615,1329,.463,217,663,.327,493,722,.683,429,835,1264,435,166,84,484,680,2374
5,Syracuse,Midwest,32,34,885,2029,.436,700,1477,.474,185,552,.335,520,727,.715,442,771,1213,545,325,203,441,681,2475,779,1904,.409,571,1258,.454,208,646,.322,528,807,.654,492,812,1304,514,206,106,575,647,2294
12,Hawaii,Midwest,64,31,797,1703,.468,620,1196,.518,177,507,.349,483,666,.725,335,664,999,557,183,74,516,605,2254,818,1768,.463,644,1305,.493,174,463,.376,455,636,.715,347,657,1004,422,238,95,473,627,2265
4,Kansas,Midwest,16,33,1002,1996,.502,819,1531,.535,183,465,.394,520,789,.659,443,964,1407,641,217,170,532,648,2707,782,2069,.378,549,1372,.400,233,697,.334,489,719,.680,453,703,1156,435,279,90,496,699,2286
13,Cal State Northridge,Midwest,64,32,910,1842,.494,693,1295,.535,217,547,.397,613,865,.709,373,785,1158,608,267,77,489,716,2650,826,1869,.442,629,1272,.494,197,597,.330,560,787,.712,399,726,1125,513,223,79,548,699,2409
6,Notre Dame,Midwest,32,30,814,1763,.462,595,1193,.499,219,570,.384,491,714,.688,370,844,1214,527,199,178,434,501,2338,781,1988,.393,590,1379,.428,191,609,.314,325,491,.662,464,696,1160,433,208,100,404,623,2078
11,Xavier,Midwest,64,29,706,1653,.427,528,1066,.495,178,587,.303,540,768,.703,391,734,1125,398,208,115,415,551,2130,693,1709,.406,515,1110,.464,178,599,.297,347,547,.634,373,660,1033,385,180,117,445,658,1911
3,Ole Miss,Midwest,16,35,865,1958,.442,641,1303,.492,224,655,.342,542,829,.654,416,811,1227,500,285,115,500,719,2496,782,1864,.420,636,1370,.464,146,494,.296,552,826,.668,414,817,1231,356,224,132,599,736,2262
14,Iona,Midwest,64,33,912,1896,.481,753,1481,.508,159,415,.383,566,822,.689,378,861,1239,481,259,183,557,717,2549,809,1941,.417,633,1405,.451,176,536,.328,581,865,.672,419,751,1170,431,262,97,548,707,2375
7,Wake Forest,Midwest,64,30,838,1815,.462,661,1321,.500,177,494,.358,443,609,.727,342,762,1104,465,219,136,375,572,2296,700,1712,.409,533,1176,.453,167,536,.312,428,637,.672,354,719,1073,361,173,107,462,553,1995
10,Butler,Midwest,32,32,755,1643,.460,504,1026,.491,251,617,.407,467,652,.716,305,617,922,388,222,89,377,505,2228,723,1652,.438,558,1179,.473,165,473,.349,335,475,.705,356,651,1007,373,145,97,513,619,1946
2,Arizona,Midwest,2,36,1015,2131,.476,822,1587,.518,193,544,.355,703,940,.748,487,946,1433,585,283,159,546,630,2926,862,2174,.397,652,1486,.439,210,688,.305,452,669,.676,466,730,1196,473,221,98,586,817,2386
15,Eastern Illinois,Midwest,64,31,915,1931,.474,685,1347,.509,230,584,.394,504,650,.775,359,765,1124,514,197,116,427,577,2564,902,1967,.459,730,1463,.499,172,504,.341,463,661,.700,410,733,1143,488,226,139,441,591,2439
1,Michigan State,South,4,33,957,1957,.489,811,1504,.539,146,453,.322,493,686,.719,514,890,1404,579,210,133,451,611,2553,716,1823,.393,512,1203,.426,204,620,.329,403,572,.705,318,577,895,421,194,92,433,609,2039
16,Alabama State,South,64,31,756,1713,.441,591,1207,.490,165,506,.326,458,696,.658,386,789,1175,410,260,93,510,502,2135,728,1869,.390,572,1355,.422,156,514,.304,368,548,.672,451,750,1201,316,261,91,481,578,1980
