SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Oklahoma,East,8,34,853,1912,.446,603,1274,.473,250,638,.392,436,629,.693,414,837,1251,482,237,123,412,619,2392,740,1796,.412,,,,,,,,,,,,1098,,,,,,2041
16,South Carolina State,East,64,31,765,1683,.455,604,1199,.504,161,484,.333,547,782,.699,396,749,1145,316,247,89,602,643,2238,744,1790,.416,,,,,,,,,,,,1099,,,,,,2209
8,California,East,32,31,847,1819,.466,649,1289,.503,198,530,.374,409,601,.681,350,745,1095,487,203,87,433,533,2301,787,1812,.434,,,,,,,,,,,,1063,,,,,,2171
9,NC State,East,64,31,755,1656,.456,507,960,.528,248,696,.356,488,634,.770,290,699,989,456,238,100,440,580,2246,730,1658,.440,,,,,,,,,,,,997,,,,,,2116
5,Mississippi State,East,64,31,806,1718,.469,633,1211,.523,173,507,.341,366,543,.674,374,774,1148,445,268,116,479,490,2151,670,1672,.401,,,,,,,,,,,,957,,,,,,1852
12,Butler,East,16,33,786,1655,.475,512,956,.536,274,699,.392,383,533,.719,261,662,923,420,207,59,353,528,2229,752,1692,.444,,,,,,,,,,,,1005,,,,,,1986
4,Louisville,East,32,32,902,1950,.463,630,1198,.526,272,752,.362,536,770,.696,442,778,1220,529,237,148,426,725,2612,727,1785,.407,,,,,,,,,,,,1151,,,,,,2197
13,Austin Peay,East,64,31,758,1648,.460,566,1095,.517,192,553,.347,496,719,.690,339,745,1084,424,225,143,476,567,2204,754,1756,.429,,,,,,,,,,,,1046,,,,,,2101
6,Oklahoma State,East,32,32,800,1784,.448,643,1288,.499,157,496,.317,467,719,.650,397,778,1175,408,286,171,474,644,2224,699,1775,.394,,,,,,,,,,,,1140,,,,,,2004
11,Penn,East,64,28,668,1432,.466,417,824,.506,251,608,.413,371,523,.709,254,672,926,418,199,59,370,500,1958,586,1440,.407,,,,,,,,,,,,860,,,,,,1681
3,Syracuse,East,1,35,1020,2146,.475,834,1606,.519,186,540,.344,559,806,.694,478,947,1425,523,298,247,494,592,2785,878,2253,.390,,,,,,,,,,,,1333,,,,,,2435
14,Manhattan,East,64,30,774,1730,.447,608,1250,.486,166,480,.346,560,711,.788,342,690,1032,418,275,115,423,650,2274,699,1659,.421,,,,,,,,,,,,1071,,,,,,2041
7,St. Joseph's,East,64,30,725,1637,.443,486,979,.496,239,658,.363,422,615,.686,339,721,1060,417,217,166,387,563,2111,609,1639,.372,443,1139,.389,166,500,.332,400,613,.653,,,1065,341,184,82,,579,1784
10,Auburn,East,16,34,879,1890,.465,681,1317,.517,198,573,.346,452,685,.660,417,783,1200,457,269,176,541,561,2408,809,1939,.417,,,,,,,,,,,,1131,,,,,,2235
2,Wake Forest,East,32,31,805,1778,.453,614,1218,.504,191,560,.341,611,813,.752,459,833,1292,441,201,143,475,578,2412,734,1849,.397,,,,,,,,,,,,993,,,,,,2102
15,ETSU,East,64,31,899,1933,.465,732,1459,.502,167,474,.352,578,791,.731,437,764,1201,448,354,156,561,590,2543,832,1925,.432,,,,,,,,,,,,1122,,,,,,2332
1,Kentucky,Midwest,8,36,1026,2102,.488,818,1517,.539,208,585,.356,522,742,.704,460,864,1324,574,281,176,501,625,2782,827,1993,.415,,,,,,,,,,,,1114,,,,,,2309
16,IUPUI,Midwest,64,34,833,1855,.449,618,1229,.503,215,626,.343,542,774,.700,404,714,1118,457,289,61,547,654,2423,877,1829,.479,,,,,,,,,,,,1102,,,,,,2406
8,Oregon,Midwest,64,33,934,2039,.458,643,1286,.500,291,753,.386,530,685,.774,377,813,1190,567,263,91,504,692,2689,846,2004,.422,,,,,,,,,,,,1217,,,,,,2427
9,Utah,Midwest,32,33,757,1679,.451,521,1059,.492,236,620,.381,441,620,.711,333,760,1093,427,163,124,427,658,2191,672,1626,.413,,,,,,,,,,,,1014,,,,,,1991
5,Wisconsin,Midwest,16,32,798,1723,.463,597,1160,.515,201,563,.357,453,619,.732,326,719,1045,423,221,88,334,478,2250,723,1675,.432,,,,,,,,,,,,984,,,,,,1899
12,Weber State,Midwest,64,32,800,1710,.468,611,1134,.539,189,576,.328,596,815,.731,345,733,1078,455,211,24,403,601,2385,793,1738,.456,,,,,,,,,,,,1016,,,,,,2164
4,Dayton,Midwest,64,30,738,1638,.451,511,1005,.508,227,633,.359,479,671,.714,403,688,1091,452,159,88,397,529,2182,726,1698,.428,,,,,,,,,,,,946,,,,,,2007
13,Tulsa,Midwest,32,33,877,1884,.465,660,1293,.510,217,591,.367,452,619,.730,365,856,1221,488,242,159,467,565,2423,771,1940,.397,,,,,,,,,,,,1160,,,,,,2155
6,Missouri,Midwest,32,33,870,1959,.444,618,1260,.490,252,699,.361,397,600,.662,437,864,1301,452,185,144,457,562,2389,809,1985,.408,,,,,,,,,,,,1191,,,,,,2233
11,Southern Illinois,Midwest,64,31,847,1801,.470,656,1307,.502,191,494,.387,422,603,.700,336,692,1028,430,245,96,388,600,2307,746,1665,.448,,,,,,,,,,,,1066,,,,,,2115
