SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,UNC,East,4,35,1018,2124,.479,830,1618,.513,188,506,.372,485,713,.680,528,927,1455,632,261,142,495,547,2709,867,2154,.403,592,1305,.454,275,849,.324,325,523,.621,447,680,1127,453,256,98,479,644,2334
16,Fairfield,East,64,30,690,1609,.429,525,1112,.472,165,497,.332,446,730,.611,386,679,1065,388,219,107,494,613,1991,735,1671,.440,581,1186,.490,154,485,.318,451,663,.680,365,704,1069,407,228,119,462,641,2075
8,Indiana,East,64,33,772,1764,.438,593,1285,.461,179,479,.374,674,880,.766,388,795,1183,459,212,131,507,593,2397,826,1957,.422,645,1414,.456,181,543,.333,414,626,.661,442,721,1163,445,220,90,500,742,2247
9,Colorado,East,32,32,823,1949,.422,676,1543,.438,147,406,.362,547,803,.681,430,819,1249,469,258,177,441,644,2340,777,1943,.400,604,1427,.423,173,516,.335,501,766,.654,498,825,1323,461,225,130,540,664,2228
5,California,East,16,32,871,1905,.457,729,1469,.496,142,436,.326,518,771,.672,450,766,1216,520,271,135,526,588,2402,779,1898,.410,583,1299,.449,196,599,.327,417,596,.700,437,700,1137,469,237,108,579,631,2171
12,Princeton,East,64,28,631,1262,.500,387,611,.633,244,651,.375,307,429,.716,164,541,705,394,202,49,326,502,1813,509,1248,.408,393,865,.454,116,383,.303,362,528,.686,278,537,815,222,403,41,403,455,1496
4,Villanova,East,32,34,892,1931,.462,708,1369,.517,184,562,.327,584,842,.694,513,866,1379,516,287,207,555,638,2552,816,2020,.404,612,1369,.447,204,651,.313,473,716,.661,475,674,1149,458,294,90,498,697,2309
13,LIU,East,64,30,999,2297,.435,698,1402,.498,301,895,.336,447,721,.620,519,841,1360,507,396,83,383,635,2746,919,1957,.470,742,1355,.548,177,602,.294,492,736,.668,462,923,1385,561,202,99,679,612,2507
6,Louisville,East,8,35,908,2027,.448,674,1321,.510,234,706,.331,581,847,.686,499,755,1254,537,307,93,563,708,2631,869,1973,.440,694,1417,.490,175,556,.315,569,816,.697,499,769,1268,435,269,113,632,699,2482
11,UMass,East,64,33,813,1890,.430,658,1428,.461,155,462,.335,411,613,.670,480,763,1243,487,226,165,442,642,2192,710,1793,.396,540,1268,.426,170,525,.324,543,799,.680,447,711,1158,364,213,101,428,576,2133
3,New Mexico,East,32,33,855,1781,.480,610,1125,.542,245,656,.373,547,760,.720,370,810,1180,528,232,131,428,536,2502,769,1915,.402,591,1333,.443,178,582,.306,381,552,.690,431,670,1101,423,192,59,460,611,2097
14,Old Dominion,East,64,33,842,1894,.445,667,1347,.495,175,547,.320,484,731,.662,452,834,1286,491,265,233,502,585,2343,771,1986,.388,607,1403,.433,164,583,.281,499,709,.704,490,741,1231,385,258,102,487,608,2205
7,Wisconsin,East,64,28,570,1391,.410,433,985,.440,137,406,.337,377,569,.663,320,631,951,332,187,97,422,564,1654,502,1329,.378,374,921,.406,128,408,.314,416,612,.680,296,589,885,236,195,73,437,525,1548
10,Texas,East,16,30,781,1891,.413,559,1201,.465,222,690,.322,506,741,.683,455,710,1165,384,280,132,462,686,2290,734,1725,.426,582,1241,.469,152,484,.314,584,854,.684,421,783,1204,415,228,101,537,621,2204
2,South Carolina,East,64,32,793,1758,.451,564,1140,.495,229,618,.371,556,800,.695,403,775,1178,425,225,100,452,529,2371,798,1903,.419,589,1253,.470,209,650,.322,328,485,.676,417,674,1091,416,229,101,448,684,2133
15,Coppin State,East,32,31,838,1806,.464,667,1293,.516,171,513,.333,606,823,.736,364,740,1104,390,288,103,521,640,2453,818,1849,.442,667,1365,.489,151,484,.312,462,698,.662,418,692,1110,386,233,86,567,680,2249
1,Minnesota,Midwest,4,35,1007,2104,.479,843,1630,.517,164,474,.346,563,829,.679,479,893,1372,561,319,111,511,732,2741,752,1952,.385,553,1310,.422,199,642,.310,515,777,.663,440,748,1188,388,244,96,608,692,2218
16,Texas State,Midwest,64,29,698,1579,.442,536,1132,.473,162,447,.362,487,690,.706,356,742,1098,331,186,64,478,627,2045,703,1641,.428,549,1163,.472,154,478,.322,454,705,.644,346,638,984,337,200,86,409,597,2014
8,Ole Miss,Midwest,64,29,726,1665,.436,585,1203,.486,141,462,.305,408,618,.660,420,636,1056,392,219,103,406,551,2001,641,1484,.432,490,1031,.475,151,453,.333,408,585,.697,298,622,920,352,187,82,478,567,1841
9,Temple,Midwest,32,31,713,1790,.398,533,1171,.455,180,619,.291,449,678,.662,491,720,1211,348,251,117,326,420,2055,659,1686,.391,389,904,.430,270,782,.345,292,423,.690,353,701,1054,426,149,92,412,562,1880
5,Tulsa,Midwest,32,34,844,1925,.438,622,1275,.488,222,650,.342,553,839,.659,516,877,1393,516,270,127,555,642,2463,750,1953,.384,600,1387,.433,150,566,.265,491,720,.682,447,730,1177,400,296,96,522,672,2141
