SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,St. Joseph's,East Rutherford,8,32,866,1822,.475,553,1047,.528,313,775,.404,431,614,.702,308,735,1043,520,285,111,370,546,2476,718,1781,.403,,,,,,,,,,,,1162,,,,,,1994
16,Liberty,East Rutherford,64,33,819,1913,.428,613,1243,.493,206,670,.307,440,651,.676,441,794,1235,461,292,104,528,644,2284,816,1895,.431,,,,,,,,,,,,1163,,,,,,2224
8,Texas Tech,East Rutherford,32,34,922,1985,.464,797,1614,.494,125,371,.337,521,703,.741,385,768,1153,505,278,117,424,562,2490,834,1933,.431,,,,,,,,,,,,1216,,,,,,2269
9,Charlotte,East Rutherford,64,30,812,1805,.450,580,1123,.516,232,682,.340,518,798,.649,441,779,1220,484,264,90,458,570,2374,757,1816,.417,555,1193,.465,202,623,.324,432,597,.724,,,1084,415,201,64,,652,2148
5,Florida,East Rutherford,64,31,829,1719,.482,580,1058,.548,249,661,.377,462,616,.750,306,775,1081,492,200,98,454,586,2369,746,1797,.415,,,,,,,,,,,,1056,,,,,,2149
12,Manhattan,East Rutherford,32,31,762,1724,.442,582,1235,.471,180,489,.368,607,798,.761,374,705,1079,338,287,128,395,636,2311,681,1632,.417,,,,,,,,,,,,1041,,,,,,1984
4,Wake Forest,East Rutherford,16,31,882,1854,.476,646,1243,.520,236,611,.386,590,829,.712,417,731,1148,487,277,95,457,641,2590,813,1811,.449,,,,,,,,,,,,1052,,,,,,2360
13,VCU,East Rutherford,64,31,811,1707,.475,603,1177,.512,208,530,.392,372,614,.606,377,782,1159,407,209,120,510,549,2202,718,1773,.405,,,,,,,,,,,,1019,,,,,,1986
6,Wisconsin,East Rutherford,32,32,754,1687,.447,564,1123,.502,190,564,.337,492,684,.719,347,702,1049,425,220,90,320,493,2190,671,1594,.421,,,,,,,,,,,,967,,,,,,1823
11,Richmond,East Rutherford,64,33,737,1793,.411,549,1186,.463,188,607,.310,467,648,.721,403,761,1164,406,235,143,432,617,2129,684,1724,.397,,,,,,,,,,,,1166,,,,,,1964
3,Pitt,East Rutherford,16,36,904,1921,.471,754,1431,.527,150,490,.306,488,748,.652,466,854,1320,523,215,169,455,532,2446,765,1984,.386,,,,,,,,,,,,1127,,,,,,2031
14,UCF,East Rutherford,64,31,792,1732,.457,560,1074,.521,232,658,.353,365,510,.716,382,747,1129,520,279,141,473,574,2181,655,1648,.397,,,,,,,,,,,,989,,,,,,1916
7,Memphis,East Rutherford,32,30,736,1751,.420,477,1029,.464,259,722,.359,441,671,.657,402,737,1139,425,218,150,383,543,2172,665,1641,.405,,,,,,,,,,,,1038,,,,,,1959
10,South Carolina,East Rutherford,64,34,846,1948,.434,620,1257,.493,226,691,.327,465,690,.674,423,801,1224,499,300,178,448,609,2383,752,1907,.394,,,,,,,,,,,,1257,,,,,,2130
2,Oklahoma State,East Rutherford,4,35,1002,1953,.513,836,1512,.553,166,441,.376,528,760,.695,393,860,1253,561,271,128,468,655,2698,788,1922,.410,,,,,,,,,,,,1071,,,,,,2188
15,Eastern Washington,East Rutherford,64,30,747,1574,.475,568,1086,.523,179,488,.367,429,608,.706,279,639,918,480,192,49,453,605,2102,726,1560,.465,,,,,,,,,,,,932,,,,,,2035
1,Kentucky,St. Louis,32,32,862,1828,.472,658,1256,.524,204,572,.357,437,627,.697,371,789,1160,504,249,110,468,584,2365,704,1748,.403,,,,,,,,,,,,1005,,,,,,2036
16,Florida A&M,St. Louis,64,32,747,1802,.415,476,1020,.467,271,782,.347,546,771,.708,,,1089,405,271,51,537,693,2311,802,1784,.450,,,,,,,,,,,,1203,,,,,,2372
8,Washington,St. Louis,64,31,890,1911,.466,689,1342,.513,201,569,.353,562,788,.713,382,721,1103,501,226,91,472,667,2543,868,1868,.465,,,,,,,,,,,,1109,,,,,,2449
9,Alabama-Birmingham,St. Louis,16,32,882,2006,.440,669,1360,.492,213,646,.330,437,656,.666,401,718,1119,564,371,115,431,681,2414,757,1758,.431,,,,,,,,,,,,1281,,,,,,2218
5,Providence,St. Louis,64,29,717,1592,.450,489,963,.508,228,629,.362,398,553,.720,342,634,976,455,264,143,433,469,2060,689,1630,.423,,,,,,,,,,,,957,,,,,,1867
12,Pacific,St. Louis,32,33,764,1633,.468,569,1087,.523,195,546,.357,549,746,.736,304,797,1101,478,194,103,471,561,2272,752,1871,.402,,,,,,,,,,,,1078,,,,,,2097
4,Kansas,St. Louis,8,33,895,1923,.465,707,1361,.519,188,562,.335,525,743,.707,409,894,1303,572,232,165,485,661,2503,766,1959,.391,,,,,,,,,,,,1167,,,,,,2218
13,UIC,St. Louis,64,32,810,1797,.451,652,1387,.470,158,410,.385,445,700,.636,423,703,1126,468,247,85,405,572,2223,723,1661,.435,524,1103,.475,199,558,.357,371,571,.650,,,1033,453,190,113,,658,2016
6,Boston College,St. Louis,32,34,819,1799,.455,691,1406,.491,128,393,.326,546,804,.679,425,799,1224,543,241,102,457,537,2312,786,1943,.405,,,,,,,,,,,,1119,,,,,,2148
11,Utah,St. Louis,64,33,768,1630,.471,572,1124,.509,196,506,.387,402,556,.723,355,785,1140,426,146,111,463,566,2134,690,1668,.414,,,,,,,,,,,,896,,,,,,1893
3,Georgia Tech,St. Louis,2,38,1029,2213,.465,762,1484,.513,267,729,.366,586,847,.692,429,993,1422,579,338,172,578,795,2911,865,2228,.388,,,,,,,,,,,,1418,,,,,,2552
14,Northern Iowa,St. Louis,64,31,723,1644,.440,500,1014,.493,223,630,.354,478,648,.738,268,800,1068,410,165,63,388,517,2147,735,1756,.419,,,,,,,,,,,,1073,,,,,,2015
7,Michigan State,St. Louis,64,30,748,1519,.492,558,1045,.534,190,474,.401,452,586,.771,270,640,910,441,214,54,438,630,2138,689,1510,.456,,,,,,,,,,,,860,,,,,,2025
10,Nevada,St. Louis,16,34,901,1991,.453,729,1490,.489,172,501,.343,605,830,.729,449,873,1322,478,218,154,445,624,2579,812,1963,.414,,,,,,,,,,,,1130,,,,,,2257
2,Gonzaga,St. Louis,32,31,899,1765,.509,704,1274,.553,195,491,.397,543,724,.750,348,882,1230,556,192,116,418,500,2536,725,1890,.384,,,,,,,,,,,,975,,,,,,2052
15,Valparaiso,St. Louis,64,31,765,1740,.440,600,1205,.498,165,535,.308,522,740,.705,368,815,1183,474,210,97,500,692,2217,760,1811,.420,,,,,,,,,,,,1108,,,,,,2201
1,Duke,Atlanta,4,37,1018,2161,.471,755,1439,.525,263,722,.364,655,890,.736,474,877,1351,536,340,240,511,699,2954,876,2154,.407,,,,,,,,,,,,1265,,,,,,2406
16,Alabama State,Atlanta,64,31,639,1523,.420,466,1006,.463,173,517,.335,453,691,.656,360,706,1066,315,219,95,537,581,1904,667,1625,.410,,,,,,,,,,,,987,,,,,,1913
8,Seton Hall,Atlanta,32,31,806,1759,.458,625,1238,.505,181,521,.347,435,609,.714,359,775,1134,406,207,95,403,573,2228,719,1783,.403,,,,,,,,,,,,1060,,,,,,2028
9,Arizona,Atlanta,64,30,942,1938,.486,723,1370,.528,219,568,.386,511,650,.786,421,756,1177,560,206,135,448,483,2614,865,1961,.441,,,,,,,,,,,,1055,,,,,,2354
5,Illinois,Atlanta,16,33,887,1899,.467,656,1237,.530,231,662,.349,397,571,.695,381,770,1151,565,224,122,401,618,2402,733,1750,.419,,,,,,,,,,,,1064,,,,,,2077
12,Murray State,Atlanta,64,34,994,2009,.495,770,1350,.570,224,659,.340,518,730,.710,416,845,1261,636,271,146,476,615,2730,851,1981,.430,,,,,,,,,,,,1109,,,,,,2342
4,Cincinnati,Atlanta,32,32,867,1893,.458,630,1281,.492,237,612,.387,484,723,.669,420,777,1197,517,241,168,393,620,2455,674,1710,.394,,,,,,,,,,,,1067,,,,,,2056
13,ETSU,Atlanta,64,33,946,2059,.459,745,1479,.504,201,580,.347,525,762,.689,411,858,1269,505,382,192,514,557,2618,843,2064,.408,,,,,,,,,,,,1269,,,,,,2291
6,UNC,Atlanta,32,30,877,1912,.459,682,1358,.502,195,554,.352,515,749,.688,460,729,1189,538,287,120,462,556,2464,799,1798,.444,,,,,,,,,,,,1062,,,,,,2243
11,Air Force,Atlanta,64,29,585,1216,.481,340,569,.598,245,647,.379,322,453,.711,174,449,623,386,225,68,318,481,1737,530,1183,.448,,,,,,,,,,,,814,,,,,,1475
3,Texas,Atlanta,16,33,904,2046,.442,677,1436,.471,227,610,.372,494,726,.680,517,838,1355,447,219,125,388,645,2529,740,1867,.396,,,,,,,,,,,,1133,,,,,,2195
14,Princeton,Atlanta,64,28,634,1319,.481,465,819,.568,169,500,.338,323,454,.711,241,615,856,376,192,90,372,507,1760,544,1333,.408,,,,,,,,,,,,777,,,,,,1591
7,Xavier,Atlanta,8,37,908,2058,.441,624,1302,.479,284,756,.376,535,777,.689,439,888,1327,494,252,87,459,619,2635,850,2055,.414,,,,,,,,,,,,1245,,,,,,2339
10,Louisville,Atlanta,64,30,737,1757,.419,496,1044,.475,241,713,.338,480,641,.749,351,775,1126,460,249,151,413,616,2195,638,1672,.382,,,,,,,,,,,,1119,,,,,,1846
2,Mississippi State,Atlanta,32,30,822,1766,.465,624,1207,.517,198,559,.354,476,717,.664,444,787,1231,416,280,132,458,489,2318,727,1769,.411,,,,,,,,,,,,992,,,,,,1997
15,Monmouth,Atlanta,64,33,752,1802,.417,516,1127,.458,236,675,.350,513,693,.740,303,785,1088,454,252,84,446,579,2253,789,1864,.423,,,,,,,,,,,,1217,,,,,,2226
1,Stanford,Phoenix,32,32,849,1771,.479,680,1307,.520,169,464,.364,489,651,.751,366,812,1178,513,206,140,453,573,2356,671,1745,.385,,,,,,,,,,,,962,,,,,,1936
16,UTSA,Phoenix,64,33,813,1896,.429,579,1248,.464,234,648,.361,540,775,.697,415,827,1242,421,251,99,564,635,2400,839,1973,.425,,,,,,,,,,,,1213,,,,,,2367
8,Alabama,Phoenix,8,33,813,1802,.451,580,1186,.489,233,616,.378,521,735,.709,366,782,1148,395,213,111,423,598,2380,780,1869,.417,,,,,,,,,,,,1129,,,,,,2245
9,Southern Illinois,Phoenix,64,30,787,1775,.443,602,1227,.491,185,548,.338,372,540,.689,393,664,1057,424,302,91,360,576,2131,661,1551,.426,,,,,,,,,,,,1038,,,,,,1889
5,Syracuse,Phoenix,16,31,847,1827,.464,706,1397,.505,141,430,.328,430,669,.643,423,757,1180,465,235,205,396,554,2265,739,1839,.402,,,,,,,,,,,,1151,,,,,,2096
12,BYU,Phoenix,64,30,764,1571,.486,593,1084,.547,171,487,.351,501,692,.724,316,701,1017,445,208,98,409,566,2200,703,1561,.450,,,,,,,,,,,,851,,,,,,1966
