SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Duke,East,2,39,1244,2422,.514,951,1683,.565,293,739,.396,800,1135,.705,587,1058,1645,633,349,245,572,713,3581,972,2486,.391,781,1851,.422,191,635,.301,484,730,.663,566,737,1303,468,274,100,690,895,2619
16,Florida A&M,East,64,31,769,1985,.387,620,1455,.426,149,530,.281,565,906,.624,566,788,1354,316,305,92,576,735,2252,789,1831,.431,581,1272,.457,208,559,.372,616,906,.680,439,833,1272,417,247,135,591,706,2402
8,College of Charleston,East,64,31,830,1702,.488,690,1321,.522,140,381,.367,458,649,.706,395,753,1148,435,283,196,446,510,2258,649,1674,.388,477,1153,.414,172,521,.330,364,523,.696,354,591,945,329,203,78,510,584,1834
9,Tulsa,East,32,33,776,1785,.435,553,1152,.480,223,633,.352,544,826,.659,429,845,1274,462,291,185,593,670,2319,693,1814,.382,512,1245,.411,181,569,.318,535,824,.649,419,746,1165,363,317,88,563,644,2102
5,Wisconsin,East,64,32,685,1573,.435,481,1001,.481,204,572,.357,413,558,.740,274,674,948,433,224,78,377,587,1987,613,1504,.408,452,1017,.444,161,487,.331,379,564,.672,302,691,993,313,159,88,486,568,1766
12,Missouri State,East,16,33,837,1821,.460,658,1330,.495,179,491,.365,561,789,.711,351,809,1160,500,299,139,468,567,2414,783,1875,.418,559,1236,.452,224,639,.351,383,549,.698,379,777,1156,474,266,71,552,702,2173
4,Tennessee,East,32,30,720,1704,.423,519,1098,.473,201,606,.332,537,771,.696,399,761,1160,410,262,190,484,552,2178,688,1797,.383,517,1251,.413,171,546,.313,386,568,.680,448,701,1149,359,250,99,512,622,1949
13,Delaware,East,64,31,830,1775,.468,623,1219,.511,207,556,.372,527,726,.726,316,809,1125,451,234,139,455,536,2394,771,1892,.408,605,1367,.443,166,525,.316,391,561,.697,411,737,1148,383,226,88,510,647,2099
6,Temple,East,8,35,821,1985,.414,594,1250,.475,227,735,.309,462,706,.654,510,763,1273,447,349,128,374,527,2331,698,1812,.385,396,997,.397,302,815,.371,350,541,.647,443,793,1236,468,177,104,544,609,2048
11,Kent State,East,64,30,782,1754,.446,614,1269,.484,168,485,.346,424,620,.684,391,657,1048,461,276,92,418,557,2156,676,1552,.436,535,1141,.469,141,411,.343,412,589,.699,325,690,1015,406,212,66,561,544,1905
3,Cincinnati,East,32,33,890,1920,.464,724,1412,.513,166,508,.327,494,727,.680,476,814,1290,465,256,152,477,617,2440,703,1841,.382,517,1295,.399,186,546,.341,428,641,.668,435,640,1075,322,198,85,550,653,2020
14,George Mason,East,64,30,826,1813,.456,631,1269,.497,195,544,.358,367,599,.613,412,670,1082,398,304,136,444,550,2214,723,1686,.429,533,1177,.453,190,509,.373,395,590,.669,401,709,1110,387,204,118,579,542,2031
7,Texas,East,64,32,748,1763,.424,595,1291,.461,153,472,.324,540,831,.650,456,791,1247,369,261,162,516,543,2189,739,1820,.406,537,1254,.428,202,566,.357,396,587,.675,396,708,1104,390,260,79,497,655,2076
